NUMBER	SwissProt ID (DUB)	SwissProt ID (Substrate)	SwissProt AC (DUB)	SwissProt AC (Substrate)	Gene Symbol (DUB)	Gene Symbol (Substrate)	SOURCE	SOURCEID	SENTENCE	DUBTYPE	COUNT	type	species
488	OTU1_HUMAN	DESM_HUMAN	Q5VVQ6	P17661	YOD1	DES	MEDLINE	29080116	<span class="match term0">YOD1</span>, a DUB from OTU family, deubiquitinates <span class="match term1">DESMIN</span>.	OTU	1	Training data	H.sapiens
489	Q6P468_HUMAN	MCL1_HUMAN 	Q6P468	Q07820	USP9X	MCL1	MEDLINE	20023629	hUbiquitome	USP	1	Other	H.sapiens
490	UBP20_HUMAN	SQSTM_HUMAN	Q9Y2K6	Q13501	USP20	SQSTM1	MEDLINE	32354117	<span class="match term0">USP20</span> specifically binds to <span class="match term1">p62</span> and acts as a positive regulator for NF-kappaB activation by TNFalpha through deubiquitinating lysine 48 (K48)-linked polyubiquitination, eventually contributing to cell survival	USP	1	Other	H.sapiens
491	USP9X_HUMAN	MCL1_HUMAN	Q93008	Q07820	USP9X	MCL1	MEDLINE	28279784	28279784	USP	1	Training data	H.sapiens
492	UBP15_HUMAN	MDM2_HUMAN	Q9Y4E8	Q00987	USP15	MDM2	MEDLINE	28801249	28801249	USP	1	Training data	H.sapiens
493	UBP34_HUMAN	AXIN2_HUMAN	Q70CQ2	Q9Y2T1	USP34	AXIN2	UNIPROT	UBP19_HUMAN	Ubiquitin hydrolase that can remove conjugated ubiquitin from AXIN1 and <span class="match term1">AXIN2</span>, thereby acting as a regulator of Wnt signaling pathway.	USP	1	Other	H.sapiens
494	UBP34_HUMAN	AXIN1_HUMAN	Q70CQ2	O15169	USP34	AXIN1	UNIPROT	UBP34_HUMAN	Ubiquitin hydrolase that can remove conjugated ubiquitin from <span class="match term1">AXIN1</span> and AXIN2, thereby acting as a regulator of Wnt signaling pathway.	USP	1	Other	H.sapiens
495	UBP2_HUMAN	MDM2_HUMAN	O75604	Q00987	USP2	MDM2	MEDLINE	28801249	28801249	USP	1	Training data	H.sapiens
496	USP9X_HUMAN	AMOL2_HUMAN	Q93008	Q9Y2J4	USP9X	AMOTL2	MEDLINE	26598551	we report for the first time that <span class="match term0">USP9X</span> is a deubiquitinase of Angiomotin-like 2 (<span class="match term1">AMOTL2</span>) and that <span class="match term1">AMOTL2</span> mono-ubiquitination is required for YAP inhibition	USP	1	Other	H.sapiens
497	UBP19_HUMAN	COR2A_HUMAN	O94966	Q92828	USP19	CORO2A	MEDLINE	27129179	<span class="match term0">UBIQUITIN SPECIFIC PROTEASE 19</span> involved in transcriptional repression of retinoic acid receptor by stabilizing <span class="match term1">CORO2A</span>	USP	1	Training data	H.sapiens
498	ATX3L_HUMAN	KLF5_HUMAN	Q9H3M9	Q13887	ATXN3L	KLF5	MEDLINE	26079537	Ataxin-3 like (<span class="match term0">ATXN3L</span>), a member of the Josephin family of deubiquitinating enzymes, promotes breast cancer proliferation by deubiquitinating Kruppel-like factor 5 (<span class="match term1">KLF5</span>). The Kruppel-like factor 5 (<span class="match term1">KLF5</span>) has been suggested to promote breast cell proliferation, survival and tumorigenesis.	Josephin	1	Other	H.sapiens
499	UBP48_HUMAN	TRAF2_HUMAN	Q86UV5	Q12933	USP48	TRAF2	MEDLINE	28874458	The deubiquitinating enzyme <span class="match term0">USP48</span> stabilizes <span class="match term1">TRAF2</span> and reduces E-cadherin-mediated adherens junctions	USP	1	Training data	H.sapiens
500	UBP26_HUMAN	MDM2_HUMAN	Q9BXU7	Q00987	USP26	MDM2	MEDLINE	28801249	28801249	USP	1	Training data	H.sapiens
501	UBP10_HUMAN	RS2_HUMAN	Q14694	P15880	USP10	RPS2	MEDLINE	34348161	Subsequent deubiquitination of <span class="match term1">RPS2</span> and RPS3 by <span class="match term0">USP10</span> is critical for recycling of stalled ribosomes in a process known as ribosome-associated quality control	USP	1	Other	H.sapiens
502	UBP27_HUMAN	HES1_HUMAN	A6NNY8	Q14469	USP27X	HES1	MEDLINE	25846153	Knockdown of Usp22 shortened the half-life of <span class="match term1">Hes1</span>, delayed its oscillation, and enhanced neuronal differentiation in mouse developing brain, whereas mis-expression of <span class="match term0">Usp27x</span> reduced neuronal differentiation.	USP	1	Training data	H.sapiens
503	UBP7_HUMAN	UB2E1_HUMAN	Q93009	P51965	USP7	UBE2E1	MEDLINE	28073915	<span class="match term1">UbE2E1</span>/UbcH6 is an E2 ubiquitin-conjugating enzyme that is regulated by <span class="match term0">USP7</span>	USP	1	Training data	H.sapiens
504	USP9X_HUMAN	EPS15_HUMAN	Q93008	P42566	USP9X	EPS15	MEDLINE	26748853	<span class="match term0">USP9X</span> Controls EGFR Fate by Deubiquitinating the Endocytic Adaptor <span class="match term1">Eps15</span>	USP	1	Training data	H.sapiens
505	UBP7_HUMAN	SL9A3_HUMAN	Q93009	P48764	USP7	SLC9A3	MEDLINE	33095475	These findings demonstrate that <span class="match term0">USP7</span> and USP10 are DUBs that regulate <span class="match term1">NHE3</span> ubiquitination and expression, and reveal a new mechanism of <span class="match term1">NHE3</span> inhibition involving DUBs.	USP	1	Other	H.sapiens
506	UBP7_HUMAN	MDM2_HUMAN	Q93009	Q00987	USP7	MDM2	MEDLINE	28801249	28801249	USP	1	Training data	H.sapiens
507	U17L2_HUMAN	IFIH1_HUMAN	Q6R6M4	Q9BYX4	USP17L2	IFIH1	MEDLINE	20368735	Taken together, our findings suggest that <span class="match term0">USP17</span> functions through deubiquitination of RIG-I and <span class="match term1">MDA5</span> to regulate virus-induced type I IFN signaling.	USP	1	Other	H.sapiens
508	UBP7_HUMAN	MDM4_HUMAN	Q93009	O15151	USP7	MDM4	MEDLINE	27775833	27775833	USP	1	Training data	H.sapiens
509	UBP8_HUMAN	MET_HUMAN	P40818	P08581	USP8	MET	MEDLINE	27919796	27919796	USP	1	Training data	H.sapiens
510	UBP8_HUMAN	CFLAR_HUMAN	P40818	O15519	USP8	CFLAR	MEDLINE	27321185	<span class="match term0">USP8</span> directly deubiquitylates and stabilizes <span class="match term1">FLIPL</span>	USP	1	Other	H.sapiens
511	UBP48_HUMAN	TF65_HUMAN	Q86UV5	Q04206	USP48	RELA	MEDLINE	30628021	Catalytic domain of deubiquitinylase <span class="match term0">USP48</span> directs interaction with Rel homology domain of nuclear factor kappaB transcription factor <span class="match term1">RelA</span>	USP	1	Other	H.sapiens
512	USP9X_HUMAN	MIB1_HUMAN	Q93008	Q86YT6	USP9X	MIB1	MEDLINE	27593927	<span class="match term0">USP9x</span> in turn stimulates JAG1 activity through two mechanisms: (1) through TRB3 deubiquitination and stabilization, and (2) through deubiquitination and activation of Mind Bomb 1, an E3 ligase required for JAG1 ubiquitination-mediated endocytosis and Notch activation.	USP	1	Training data	H.sapiens
513	UBP2_HUMAN	MMP2_HUMAN	O75604	P08253	USP2	MMP2	MEDLINE	28279784	28279784	USP	1	Training data	H.sapiens
514	PSDE_HUMAN	ACVR1_HUMAN	O00487	Q04771	PSMD14	ACVR1	MEDLINE	31685442	FINDINGS: The deubiquitinase <span class="match term0">PSMD14</span> acts as a positive regulator for the initiation of the BMP6 signaling pathway through deubiquitinating K48-linked <span class="match term1">ALK2</span> type I receptor ubiquitination mediated by Smurf1 E3 ligase, resulting in increased stability of the <span class="match term1">ALK2</span>	JAMM	1	Other	H.sapiens
515	UBP37_HUMAN	CCNA1_HUMAN	Q86T82	P78396	USP37	CCNA1	UNIPROT	U17L2_HUMAN	Deubiquitinase that antagonizes the anaphase-promoting complex (APC/C) during G1/S transition by mediating deubiquitination of cyclin-A (<span class="match term1">CCNA1</span> and CCNA2)	USP	1	Other	H.sapiens
516	UBP20_HUMAN	CTNB1_HUMAN	Q9Y2K6	P35222	USP20	CTNNB1	MEDLINE	29867130	Mechanistically, <span class="match term0">USP20</span> regulates the deubiquitination of <span class="match term1">BETA-CATENIN</span> to control its stability, thereby inducing proliferation, invasion and migration of cancer cells	USP	1	Other	H.sapiens
517	UBP22_HUMAN	MMP9_HUMAN	Q9UPT9	P14780	USP22	MMP9	MEDLINE	28279784	28279784	USP	1	Training data	H.sapiens
518	UBP42_HUMAN	MMP9_HUMAN	Q9H9J4	P14780	USP42	MMP9	MEDLINE	28279784	28279784	USP	1	Training data	H.sapiens
519	UBP33_HUMAN	PRKN_HUMAN	Q8TEY7	O60260	USP33	PRKN	MEDLINE	31432739	Our findings convincingly demonstrate that <span class="match term0">USP33</span> is a novel <span class="match term1">PRKN</span> deubiquitinase antagonizing its regulatory roles in mitophagy and SH-SY5Y neuron-like cell survival	USP	1	Other	H.sapiens
520	UBP20_HUMAN	HIF1A_HUMAN	Q9Y2K6	Q16665	USP20	HIF1A	MEDLINE	23750477	<span class="match term0">USP20</span> stabilizes <span class="match term1">HIF-1ALPHA</span> by abolishing von Hippel-Lindau protein (pVHL)-E3 ligase complex-mediated <span class="match term1">HIF-1ALPHA</span> degradation	USP	1	Training data	H.sapiens
521	UBP15_HUMAN	SMAD2_HUMAN	Q9Y4E8	Q15796	USP15	SMAD2	MEDLINE	28245560	reports have suggested that <span class="match term0">USP15</span> acts as a key regulator of TGF-b receptor-signaling pathways by deubiquitinating the TGF-b receptor itself and its downstream transducers receptor-regulated SMADs (R-SMADs), including SMAD1, <span class="match term1">SMAD2</span>, and SMAD3, thus activating the TGF-b target genes.	USP	1	Other	H.sapiens
522	UBP6_HUMAN	MMP9_HUMAN	P35125	P14780	USP6	MMP9	MEDLINE	28279784	28279784	USP	1	Training data	H.sapiens
523	UBP10_HUMAN	MSI2H_HUMAN	Q14694	Q96DH6	USP10	MSI2	MEDLINE	30604502	<span class="match term0">USP10</span> regulates Musashi-2 stability via deubiquitination and promotes tumour proliferation in colon cancer	USP	1	Other	H.sapiens
524	UBP7_HUMAN	CRY2_HUMAN	Q93009	Q49AN0	USP7	CRY2	MEDLINE	27123980	We found that ubiquitin-specific protease 7 (<span class="match term0">USP7</span> also known as HAUSP) associates with CRY1 and <span class="match term1">CRY2</span> and stabilizes CRYs through deubiquitination	USP	1	Training data	H.sapiens
525	UBP49_HUMAN	P53_HUMAN	Q70CQ1	P04637	USP49	TP53	MEDLINE	29748582	In our study, we identified <span class="match term0">USP49</span> as a novel deubiquitinase (DUB) for <span class="match term1">p53</span> from a library consisting of 80 DUBs and found that <span class="match term0">USP49</span> has a positive effect on <span class="match term1">p53</span> transcriptional activity and protein stability	USP	1	Other	H.sapiens
526	UBP50_HUMAN	WEE1_HUMAN	Q70EL3	P30291	USP50	WEE1	MEDLINE	25121098	<span class="match term0">USP50</span> regulates HSP90-dependent <span class="match term1">Wee1</span> stability preventing mitotic entry, acting as another G2/M checkpoint	Other	1	Training data	H.sapiens
527	UBP4_HUMAN	RORG_HUMAN	Q13107	P51449	USP4	RORC	MEDLINE	25821221	<span class="match term0">Ubiquitin-specific protease 4</span> promotes Th17 cell function under inflammation by deubiquitinating and stabilizing <span class="match term1">RORGAMMAT</span>	USP	1	Training data	H.sapiens
528	UBP4_HUMAN	IRF8_HUMAN	Q13107	Q02556	USP4	IRF8	MEDLINE	28477415	In the present study, we demonstrate that <span class="match term0">ubiquitin-specific protease (USP)4</span> physically interacted with interferon regulatory factor 8 (<span class="match term1">IRF8</span>) function via a K48-linked deubiquitinase, which stabilized <span class="match term1">IRF8</span> protein levels in Treg cells.	USP	1	Training data	H.sapiens
529	UBP12_HUMAN	PHLP2_HUMAN	O75317	Q6ZVD8	USP12	PHLPP2	MEDLINE	25216524	we demonstrate that <span class="match term0">Usp12</span>, in complex with Uaf-1 and WDR20, directly deubiquitinates and stabilises the Akt phosphatases PHLPP and <span class="match term1">PHLPPL</span> resulting in decreased levels of active pAkt.	USP	1	Other	H.sapiens
530	UBP10_HUMAN	NALP7_HUMAN	Q14694	Q8WX94	USP10	NLRP7	MEDLINE	33838681	<span class="match term1">NLRP7</span> deubiquitination by <span class="match term0">USP10</span> promotes tumor progression and tumor-associated macrophage polarization in colorectal cancer	USP	1	Other	H.sapiens
531	UBP4_HUMAN	AA2AR_HUMAN	Q13107	P29274	USP4	ADORA2A	UNIPROT	UBP33_HUMAN	Hydrolase that deubiquitinates target proteins such as the receptor <span class="match term1">ADORA2A</span>, PDPK1 and TRIM21.	USP	1	Other	H.sapiens
532	USP9X_HUMAN	MTOR_HUMAN	Q93008	P42345	USP9X	MTOR	MEDLINE	27775833	27775833	USP	1	Training data	H.sapiens
533	UBP4_HUMAN	CTNB1_HUMAN	Q13107	P35222	USP4	CTNNB1	MEDLINE	29080116	Additionally, DUBs USP14, USP15, USP47, and Fam/USP9X have been reported to prevent <span class="match term1">BETA-CATENIN</span> turnover by inhibiting its Ub-proteasomal degradation	USP	1	Training data	H.sapiens
534	UBP7_HUMAN	RING2_HUMAN	Q93009	Q99496	USP7	RNF2	MEDLINE	20800574	Here we identify <span class="match term0">USP7</span> as a deubiquitinating enzyme that regulates the ubiquitination state of <span class="match term1">RING1B</span>	USP	1	Training data	H.sapiens
535	UBP15_HUMAN	PAPD1_HUMAN	Q9Y4E8	Q9NVV4	USP15	MTPAP	MEDLINE	32839293	<span class="match term0">USP15</span> Deubiquitinates TUT1 Associated with RNA Metabolism and Maintains Cerebellar Homeostasis	USP	1	Other	H.sapiens
536	UBP22_HUMAN	MYC_HUMAN	Q9UPT9	P01106	USP22	MYC	MEDLINE	28279784	28279784	USP	1	Training data	H.sapiens
537	UBP28_HUMAN	MYC_HUMAN	Q96RU2	P01106	USP28	MYC	MEDLINE	27775833	27775833	USP	1	Training data	H.sapiens
538	UBP15_HUMAN	CARD9_HUMAN	Q9Y4E8	Q9H257	USP15	CARD9	MEDLINE	33093067	<span class="match term0">USP15</span> Deubiquitinates <span class="match term1">CARD9</span> to Downregulate C-Type Lectin Receptor-Mediated Signaling	USP	1	Other	H.sapiens
539	UBP36_HUMAN	MYC_HUMAN	Q9P275	P01106	USP36	MYC	MEDLINE	27919796	27919796	USP	1	Training data	H.sapiens
540	USP9X_HUMAN	PD1L1_HUMAN	Q93008	Q9NZQ7	USP9X	CD274	MEDLINE	29992764	CONCLUSION: Our data indicate that <span class="match term0">USP9X</span> deubiquitinates and stabilizes <span class="match term1">PD-L1</span>	USP	1	Other	H.sapiens
541	UBP38_HUMAN	MYC_HUMAN	Q8NB14	P01106	USP38	MYC	MEDLINE	34102342	<span class="match term0">USP38</span> can inhibit the polyubiquitination of c-<span class="match term1">Myc</span>, thereby increasing c-<span class="match term1">Myc</span> stability	USP	1	Other	H.sapiens
542	UBP11_HUMAN	VGLL4_HUMAN	P51784	Q14135	USP11	VGLL4	MEDLINE	28042509	In this study, we identify deubiquitinating enzyme <span class="match term0">USP11</span> as a novel <span class="match term1">VGLL4</span> interactor.	USP	1	Training data	H.sapiens
543	UBP14_HUMAN	MACF1_HUMAN	P54578	Q9UPN3	USP14	MACF1	MEDLINE	33737492	Here we identified <span class="match term0">USP14</span> as a deubiquitinating enzyme that regulated <span class="match term1">Acf7</span> ubiquitination and protein levels	USP	1	Other	H.sapiens
544	UBP13_HUMAN	PTEN_HUMAN	Q92995	P60484	USP13	PTEN	MEDLINE	24270891	Deubiquitylation and stabilization of <span class="match term1">PTEN</span> by <span class="match term0">USP13</span>	USP	1	Other	H.sapiens
545	UBP49_HUMAN	STING_HUMAN	Q70CQ1	Q86WV6	USP49	STING1	MEDLINE	30943264	Mechanistically, <span class="match term0">USP49</span> removes K63-linked ubiquitin chains from <span class="match term1">MITA</span> after HSV-1 infection which inhibits the aggregation of <span class="match term1">MITA</span> and the subsequent recruitment of TBK1 to the signaling complex	USP	1	Other	H.sapiens
546	UBP37_HUMAN	MYC_HUMAN	Q86T82	P01106	USP37	MYC	MEDLINE	27919796	27919796	USP	1	Training data	H.sapiens
547	UBP16_HUMAN	NANOG_HUMAN	Q9Y5T5	Q9H9S0	USP16	NANOG	MEDLINE	27919796	27919796	USP	1	Training data	H.sapiens
548	USP9X_HUMAN	LATS2_HUMAN	Q93008	Q9NRM7	USP9X	LATS2	MEDLINE	29183995	Deubiquitylase <span class="match term0">USP9X</span> suppresses tumorigenesis by stabilizing large tumor suppressor kinase 2 (<span class="match term1">LATS2</span>) in the Hippo pathway	USP	1	Training data	H.sapiens
549	UBP21_HUMAN	NANOG_HUMAN	Q9UK80	Q9H9S0	USP21	NANOG	MEDLINE	28279784	28279784	USP	1	Training data	H.sapiens
550	UBP4_HUMAN	RO52_HUMAN	Q13107	P19474	USP4	TRIM21	MEDLINE	16316627	Oncogenic protein UnpEL/<span class="match term0">Usp4</span> deubiquitinates <span class="match term1">Ro52</span> by its isopeptidase activity	USP	1	Training data	H.sapiens
551	UBP3_HUMAN	NANOG_HUMAN	Q9Y6I4	Q9H9S0	USP3	NANOG	MEDLINE	27919796	27919796	USP	1	Training data	H.sapiens
552	UBP36_HUMAN	PPME1_HUMAN	Q9P275	Q9Y570	USP36	PPME1	MEDLINE	29577269	we demonstrate that <span class="match term0">USP36</span> regulates <span class="match term1">PME-1</span> through its deubiquitinating enzyme activity. <span class="match term0">USP36</span> increases <span class="match term1">PME-1</span> stability, and depletion of <span class="match term0">USP36</span> decreases the <span class="match term1">PME-1</span> expression level.	USP	1	Training data	H.sapiens
553	UBP22_HUMAN	NFAC2_HUMAN	Q9UPT9	Q13469	USP22	NFATC2	MEDLINE	27775833	27775833	USP	1	Training data	H.sapiens
554	OTU1_HUMAN	TERA_HUMAN	Q5VVQ6	P55072	YOD1	VCP	MEDLINE	26463207	The activity of the <span class="match term1">p97</span>-associated deubiquitinylase <span class="match term0">YOD1</span> is also required for substrate disposal	OTU	1	Training data	H.sapiens
555	TNAP3_HUMAN	NFKB1_HUMAN	P21580	P19838	TNFAIP3	NFKB1	MEDLINE	27775833	27775833	OTU	1	Training data	H.sapiens
556	OTUB1_HUMAN	PD1L1_HUMAN	Q96FW1	Q9NZQ7	OTUB1	CD274	MEDLINE	33328570	Mechanistically, we demonstrate that <span class="match term0">OTUB1</span> interacts with and removes K48-linked ubiquitin chains from the <span class="match term1">PD-L1</span> intracellular domain in a manner dependent on its deubiquitinase activity to hinder the degradation of <span class="match term1">PD-L1</span> through the ERAD pathway	OTU	1	Other	H.sapiens
557	UBP7_HUMAN	NFKB1_HUMAN	Q93009	P19838	USP7	NFKB1	MEDLINE	27775833	27775833	USP	1	Training data	H.sapiens
558	UCHL1_HUMAN	HIF1A_HUMAN	P09936	Q16665	UCHL1	HIF1A	MEDLINE	28778421	We revealed that <span class="match term0">UCHL1</span> directly interacts with <span class="match term1">HIF-1ALPHA</span>, mediates the deubiquitination of <span class="match term1">HIF-1ALPHA</span>, and upregulates HIF-1 activity through the stabilization of HIF1alpha	UCH	1	Training data	H.sapiens
559	UCHL5_HUMAN	IKBA_HUMAN	Q9Y5K5	P25963	UCHL5	NFKBIA	MEDLINE	20634424	Furthermore, we discovered that IkappaB-alpha, a protein whose proteasomal degradation activates the transcription factor NF-kappaB, is also a substrate for the Rpn13/<span class="match term0">UCH37</span> complex.	UCH	1	Training data	H.sapiens
560	UBP15_HUMAN	NF2L1_HUMAN	Q9Y4E8	Q14494	USP15	NFE2L1	MEDLINE	27416755	Here, we report that <span class="match term0">USP15</span> (Ubiquitin-Specific Protease 15) activates <span class="match term1">Nrf1</span> in the nucleus by stabilizing it through deubiquitination.	USP	1	Training data	H.sapiens
561	USP9X_HUMAN	ETS1_HUMAN	Q93008	P14921	USP9X	ETS1	MEDLINE	28198367	<span class="match term1">ETS-1</span> deubiquitination blocks its proteasomal destruction and enhances tumorigenicity, which could be reversed by <span class="match term0">Usp9x</span> knockdown or inhibition.	USP	1	Other	H.sapiens
562	UBP11_HUMAN	IKBA_HUMAN	P51784	P25963	USP11	NFKBIA	MEDLINE	19874889	Moreover, knockdown of <span class="match term0">USP11</span> expression enhances TNFalpha-induced IkappaBalpha ubiquitination and NF-kappaB activation.	USP	1	Training data	H.sapiens
563	UBP46_HUMAN	DCE1_HUMAN	P62068	Q99259	USP46	GAD1	UNIPROT	UBP16_HUMAN	May act by mediating the deubiquitination of <span class="match term1">GAD1</span>/GAD67	USP	1	Other	H.sapiens
564	UBP47_HUMAN	DPOLB_HUMAN	Q96K76	P06746	USP47	POLB	UNIPROT	UBP30_HUMAN	Ubiquitin-specific protease that specifically deubiquitinates monoubiquitinated DNA polymerase beta (<span class="match term1">POLB</span>), stabilizing <span class="match term1">POLB</span> thereby playing a role in base-excision repair (BER)	USP	1	Other	H.sapiens
565	UBP47_HUMAN	SNAI1_HUMAN	Q96K76	O95863	USP47	SNAI1	MEDLINE	29162839	Hypoxia induces epithelial-mesenchymal transition in colorectal cancer cells through <span class="match term0">ubiquitin-specific protease 47</span>-mediated stabilization of <span class="match term1">Snail</span>: A potential role of Sox9	USP	1	Training data	H.sapiens
566	OTU7B_HUMAN	SOX2_HUMAN	Q6GQQ9	P48431	OTUD7B	SOX2	MEDLINE	30405104	COP1, as the substrate receptor, interacts directly with and ubiquitylates <span class="match term1">Sox2</span>, while <span class="match term0">OTUD7B</span> removes polyUb conjugates from <span class="match term1">Sox2</span> and increases its stability	OTU	1	Training data	H.sapiens
567	OTUD5_HUMAN	TRI25_HUMAN	Q96G74	Q14258	OTUD5	TRIM25	MEDLINE	32826889	<span class="match term0">OTUD5</span> cooperates with <span class="match term1">TRIM25</span> in transcriptional regulation and tumor progression via deubiquitination activity	OTU	1	Other	H.sapiens
568	U17L2_HUMAN	SNAI2_HUMAN	Q6R6M4	O43623	USP17L2	SNAI2	MEDLINE	29088851	In this study, we identified <span class="match term0">Dub3</span> as a novel DUB for both <span class="match term1">Slug</span> and Twist. We further found that <span class="match term0">Dub3</span> overexpression increased <span class="match term1">Slug</span> and Twist protein levels in a dose-dependent manner, whereas <span class="match term0">Dub3</span>-knockdown decreased their protein levels.	USP	1	Other	H.sapiens
569	UBP14_HUMAN	IKBA_HUMAN	P54578	P25963	USP14	NFKBIA	MEDLINE	33762162	Furthermore, <span class="match term0">USP14</span> could also facilitate IkappaBalpha deubiquitination and degradation, exacerbating IkappaBalpha phosphorylation and NF-kappaB activation	USP	1	Other	H.sapiens
570	UBP53_HUMAN	IKBA_HUMAN	Q70EK8	P25963	USP53	NFKBIA	MEDLINE	33973730	CONCLUSION: In summary, our data indicate that <span class="match term0">USP53</span> inhibits the inactivation of the NF-kappaB pathway by reducing the ubiquitination of IkappaBalpha to further inhibit ccRCC proliferation and metastasis	USP	1	Other	H.sapiens
571	UCHL1_HUMAN	IKBA_HUMAN	P09936	P25963	UCHL1	NFKBIA	MEDLINE	34288216	Meanwhile, inhibition of <span class="match term0">UCHL1</span> blocked the LPS-induced degradation of IkappaBalpha through the ubiquitin-proteasome system	UCH	1	Other	H.sapiens
572	UBP1_HUMAN	IRF1_HUMAN	O94782	P10914	USP1	IRF1	MEDLINE	31292489	In addition, we found that downregulation of <span class="match term1">IRF1</span> is mediated by its degradation through the ubiquitination-proteasome pathway, and that decreased activity of a deubiquitinase complex containing <span class="match term0">USP1</span> and UAF1 is involved in the degradation of <span class="match term1">IRF1</span> by Wnt/beta-catenin signaling	USP	1	Other	H.sapiens
573	UBP7_HUMAN	ABL1_HUMAN	Q93009	P00519	USP7	ABL1	MEDLINE	33963175	Further studies show that <span class="match term0">USP7</span> interacts with BCR-<span class="match term1">ABL</span> and blocks its polyubiquitination and degradation	USP	1	Other	H.sapiens
574	UBP22_HUMAN	E2F6_HUMAN	Q9UPT9	O75461	USP22	E2F6	MEDLINE	34339800	Deubiquitination of the repressor <span class="match term1">E2F6</span> by <span class="match term0">USP22</span> facilitates AKT activation and tumor growth in hepatocellular carcinoma	USP	1	Other	H.sapiens
575	UBP14_HUMAN	XRCC6_HUMAN	P54578	P12956	USP14	XRCC6	MEDLINE	31740976	<span class="match term0">USP14</span> is a deubiquitinase for <span class="match term1">Ku70</span> and critical determinant of non-homologous end joining repair in autophagy and PTEN-deficient cells	USP	1	Other	H.sapiens
576	UBP20_HUMAN	MK06_HUMAN	Q9Y2K6	Q16659	USP20	MAPK6	MEDLINE	28167606	<span class="match term0">USP20</span> interacts with and deubiquitinates <span class="match term1">ERK3</span> both in vitro and in intact cells	USP	1	Other	H.sapiens
577	UBP7_HUMAN	CCDC6_HUMAN	Q93009	Q16204	USP7	CCDC6	MEDLINE	31447003	In the TMA of MPM primary samples, the staining of <span class="match term1">CCDC6</span> and of its de-ubiquitinase <span class="match term0">USP7</span> showed a significant correlation in the tested primary samples (p = 0.01)	USP	1	Other	H.sapiens
578	UBP29_HUMAN	CGAS_HUMAN	Q9HBJ7	Q8N884	USP29	CGAS	MEDLINE	32457395	Mechanistically, <span class="match term0">USP29</span> constitutively interacts with <span class="match term1">cGAS</span>, deconjugates K48-linked polyubiquitin chains from <span class="match term1">cGAS</span> and stabilizes <span class="match term1">cGAS</span> in uninfected cells or after HSV-1 infection	USP	1	Other	H.sapiens
579	BAP1_HUMAN	NOTC1_HUMAN	Q92560	P46531	BAP1	NOTCH1	MEDLINE	31504682	<span class="match term0">BAP1</span>, a deubiquitinating enzyme (DUB), was further identified as a positive N1ICD regulator, and NUMB facilitates the association between N1ICD and <span class="match term0">BAP1</span> to stabilize N1ICD	UCH	1	Other	H.sapiens
580	USP9X_HUMAN	NUAK1_HUMAN	Q93008	O60285	USP9X	NUAK1	MEDLINE	27775833	27775833	USP	1	Training data	H.sapiens
581	TNAP3_HUMAN	OCLN_HUMAN	P21580	Q16625	TNFAIP3	OCLN	MEDLINE	22031828	We also found that <span class="match term0">TNFAIP3</span> deubiquitinates polyubiquitinated <span class="match term1">occludin</span>	OTU	1	Other	H.sapiens
582	UBP3_HUMAN	SNAI1_HUMAN	Q9Y6I4	O95863	USP3	SNAI1	MEDLINE	31266817	<span class="match term0">USP3</span> interacts directly with <span class="match term1">Snail</span> and stabilizes <span class="match term1">Snail</span> via deubiquitination	USP	1	Other	H.sapiens
583	UBP3_HUMAN	MYCN_HUMAN	Q9Y6I4	P04198	USP3	MYCN	MEDLINE	33767157	We show that increased <span class="match term0">USP3</span> levels reduce K-48- and K-63-linked ubiquitination of <span class="match term1">MYCN</span>, thus driving up <span class="match term1">MYCN</span> protein stability	USP	1	Other	H.sapiens
584	UBP13_HUMAN	ODO1_HUMAN	Q92995	Q02218	USP13	OGDH	MEDLINE	30319415	<span class="match term0">USP13</span>, the main regulator of ovarian cancer energy metabolism, specifically deubiquitinates and stabilizes oxoglutarate dehydrogenase and ATP citrate lyase, which can catalyze fatty acid synthesis, glutaminolysis and mitochondrial respiration.	USP	1	Training data	H.sapiens
585	UBP7_HUMAN	TRI27_HUMAN	Q93009	P14373	USP7	TRIM27	MEDLINE	29688809	Our findings suggest that <span class="match term0">USP7</span> acts as a negative regulator in antiviral signaling by stabilizing <span class="match term1">TRIM27</span> and promoting the degradation of TBK1	USP	1	Training data	H.sapiens
586	UBP1_HUMAN	PCNA_HUMAN	O94782	P12004	USP1	PCNA	MEDLINE	28031783	28031783	USP	1	Training data	H.sapiens
587	TNAP3_HUMAN	M3K5_HUMAN	P21580	Q99683	TNFAIP3	MAP3K5	MEDLINE	29227477	we identified the deubiquitinase tumor necrosis factor alpha-induced protein 3 (<span class="match term0">TNFAIP3</span>) as a key endogenous suppressor of <span class="match term1">ASK1</span> activation, and we found that <span class="match term0">TNFAIP3</span> directly interacts with and deubiquitinates <span class="match term1">ASK1</span> in hepatocytes.	OTU	1	Training data	H.sapiens
588	UBP50_HUMAN	ASC_HUMAN	Q70EL3	Q9ULZ3	USP50	PYCARD	MEDLINE	28094437	The deubiquitinating enzyme, <span class="match term0">ubiquitin-specific peptidase 50</span>, regulates inflammasome activation by targeting the <span class="match term1">ASC</span> adaptor protein	Other	1	Training data	H.sapiens
589	UBP7_HUMAN	PCNA_HUMAN	Q93009	P12004	USP7	PCNA	MEDLINE	28031783	28031783	USP	1	Training data	H.sapiens
