NUMBER	SwissProt ID (E3)	SwissProt ID (Substrate)	SwissProt AC (E3)	SwissProt AC (Substrate)	Gene Symbol (E3)	Gene Symbol (Substrate)	SOURCE	SOURCEID	SENTENCE	E3TYPE	COUNT	type	species
1630	NED4L_HUMAN	TGFR1_HUMAN	Q96PU5	P36897	NEDD4L	TGFBR1	MEDLINE	15817471	Alternatively, I-Smads elicit degradation of the TGF-beta receptor by recruiting the WW and HECT domain E3 ligases, Smurfs, WWP1, or <span class="match term0">NEDD4-2</span>	HECT	1	Training data	H.sapiens
1631	NED4L_HUMAN	AMOT_HUMAN	Q96PU5	Q4VCS5	NEDD4L	AMOT	MEDLINE	22385262	UbiNet 2.0	HECT	1	Training data	H.sapiens
1632	NED4L_HUMAN	SCNNA_HUMAN	Q96PU5	P37088	NEDD4L	SCNN1A	MEDLINE	18322022	<span class="match term0">Nedd4-2</span> reduces the half-life of ENaC subunits and enhances the ubiquitination of alpha, beta, and gammaENaC subunits when expressed alone or together suggesting that each subunit is a target for <span class="match term0">Nedd4-2</span>-mediated ubiquitination	HECT	1	Training data	H.sapiens
1633	NED4L_HUMAN	SPHK2_HUMAN	Q96PU5	Q9NRA0	NEDD4L	SPHK2	MEDLINE	34305532	Ubiquitination of <span class="match term1">SphK2</span> mediated by <span class="match term0">NEDD4L</span> overexpression suppressed glioma cell viability and invasion but promoted glioma apoptosis	HECT	1	Other	H.sapiens
1634	NED4L_HUMAN	SGK1_HUMAN	Q96PU5	O00141	NEDD4L	SGK1	MEDLINE	18094676	A main mechanism by which <span class="match term1">Sgk1</span> exerts this de-repression is the phosphorylation of the ubiquitin ligase <span class="match term0">Nedd4-2</span> that is thereby prevented from ubiquitylating ENaC	HECT	1	Training data	H.sapiens
1635	NED4L_HUMAN	APBB1_HUMAN	Q96PU5	O00213	NEDD4L	APBB1	MEDLINE	22199232	E3Net	HECT	1	Other	H.sapiens
1636	NED4L_HUMAN	S38A2_HUMAN	Q96PU5	Q96QD8	NEDD4L	SLC38A2	MEDLINE	17003038	UbiNet 2.0	HECT	1	Training data	H.sapiens
1637	NED4L_HUMAN	SC6A3_HUMAN	Q96PU5	Q01959	NEDD4L	SLC6A3	MEDLINE	20051513	Moreover, a fragment of the <span class="match term0">Nedd4-2</span> molecule containing WW3, WW4, and HECT domains was sufficient for fully potentiating PKC-dependent ubiquitination of <span class="match term1">DAT</span>	HECT	1	Training data	H.sapiens
1638	NED4L_HUMAN	CRCM1_HUMAN	Q96PU5	Q96D31	NEDD4L	ORAI1	MEDLINE	22682960	UbiNet 2.0	HECT	1	Training data	H.sapiens
1639	NED4L_HUMAN	TRAF3_HUMAN	Q96PU5	Q13114	NEDD4L	TRAF3	MEDLINE	33608556	E3 ligase <span class="match term0">Nedd4l</span> promotes antiviral innate immunity by catalyzing K29-linked cysteine ubiquitination of <span class="match term1">TRAF3</span>	HECT	1	Other	H.sapiens
1640	NED4L_HUMAN	NTRK1_HUMAN	Q96PU5	P04629	NEDD4L	NTRK1	MEDLINE	16701206	The binding of <span class="match term0">Nedd4-2</span> to <span class="match term1">TrkA</span> through a PPXY motif leads to the ubiquitination and downregulation of <span class="match term1">TrkA</span>	HECT	1	Training data	H.sapiens
1641	NED4L_HUMAN	SCN3A_HUMAN	Q96PU5	Q9NY46	NEDD4L	SCN3A	UniProt	NED4L_HUMAN	May be ubiquitinated by <span class="match term0">NEDD4L</span>; which would promote its endocytosis	HECT	1	Training data	H.sapiens
1642	NED4L_HUMAN	SCNNB_HUMAN	Q96PU5	P51168	NEDD4L	SCNN1B	MEDLINE	17502380	UbiNet 2.0	HECT	1	Training data	H.sapiens
1643	NED4L_HUMAN	E2AK4_HUMAN	Q96PU5	Q9P2K8	NEDD4L	EIF2AK4	MEDLINE	25589675	UbiNet 2.0	HECT	1	Other	H.sapiens
1644	NED4L_HUMAN	AKT1_HUMAN	Q96PU5	P31749	NEDD4L	AKT1	MEDLINE	32322280	Moreover, <span class="match term0">RSP5</span> mediated K63-linked ubiquitination of <span class="match term1">Akt</span> instead of K48-linked ubiquitination.	HECT	1	Other	H.sapiens
1645	NED4L_HUMAN	NFIP2_HUMAN	Q96PU5	Q9NV92	NEDD4L	NDFIP2	MEDLINE	15252135	Ubiquitination of <span class="match term1">N4WBP5A</span> is enhanced by Nedd4 and <span class="match term0">Nedd4-2</span> expression	HECT	1	Training data	H.sapiens
1646	NED4L_HUMAN	CRTC3_HUMAN	Q96PU5	Q6UUV7	NEDD4L	CRTC3	MEDLINE	29505301	<span class="match term0">NEDD4L</span> limits cAMP signaling through ubiquitination of CREB-regulated transcription coactivator 3.	HECT	1	Other	H.sapiens
1647	NED4L_HUMAN	P53_HUMAN	Q96PU5	P04637	NEDD4L	TP53	MEDLINE	29323264	We demonstrated that <span class="match term1">p53</span> degradation occurred not only via Mdm2, but also via another unexpected E3 ubiquitin ligase, <span class="match term0">Nedd4-2</span>	HECT	1	Other	H.sapiens
1648	NED4L_HUMAN	SCN9A_HUMAN	Q96PU5	Q15858	NEDD4L	SCN9A	UniProt	NED4L_HUMAN	Ubiquitinated by <span class="match term0">NEDD4L</span>; which may promote its endocytosis	HECT	1	Training data	H.sapiens
1649	NED4L_HUMAN	RCAN1_HUMAN	Q96PU5	P53805	NEDD4L	RCAN1	MEDLINE	22426484	UbiNet 2.0	HECT	1	Training data	H.sapiens
1650	NED4L_HUMAN	SMAD3_HUMAN	Q96PU5	P84022	NEDD4L	SMAD3	MEDLINE	19917253	UbiNet 2.0	HECT	1	Training data	H.sapiens
1651	NED4L_HUMAN	SCN8A_HUMAN	Q96PU5	Q9UQD0	NEDD4L	SCN8A	UniProt	NED4L_HUMAN	May be ubiquitinated by <span class="match term0">NEDD4L</span>; which would promote its endocytosis (By similarity)	HECT	1	Training data	H.sapiens
1652	NED4L_HUMAN	PFKAP_HUMAN	Q96PU5	Q01813	NEDD4L	PFKP	MEDLINE	32679544	<span class="match term0">NEDD4L</span> upregulation elicited by KLF3 deficiency in VSMCs increases the ubiquitination and degradation of <span class="match term1">PFKP</span> by <span class="match term0">NEDD4L</span>;	HECT	1	Other	H.sapiens
1653	NED4L_HUMAN	LGR4_HUMAN	Q96PU5	Q9BXB1	NEDD4L	LGR4	MEDLINE	31867777	UbiNet 2.0	HECT	1	Other	H.sapiens
1654	NED4L_HUMAN	TTYH2_HUMAN	Q96PU5	Q9BSA4	NEDD4L	TTYH2	MEDLINE	18577513	We have also shown that <span class="match term0">Nedd4-2</span>-mediated ubiquitination of <span class="match term1">TTYH2</span> is a critical regulator of cell surface and total cellular levels of this protein	HECT	1	Training data	H.sapiens
1655	NED4L_HUMAN	TGFR2_HUMAN	Q96PU5	P37173	NEDD4L	TGFBR2	MEDLINE	15817471	UbiNet 2.0	HECT	1	Training data	H.sapiens
1656	NED4L_HUMAN	TRPV6_HUMAN	Q96PU5	Q9H1D0	NEDD4L	TRPV6	MEDLINE	20843805	UbiNet 2.0	HECT	1	Training data	H.sapiens
1657	NED4L_HUMAN	NTRK2_HUMAN	Q96PU5	Q16620	NEDD4L	NTRK2	MEDLINE	16701206	UbiNet 2.0	HECT	1	Training data	H.sapiens
1658	NED4L_HUMAN	OCLN_HUMAN	Q96PU5	Q16625	NEDD4L	OCLN	MEDLINE	20504882	UbiNet 2.0	HECT	1	Training data	H.sapiens
1659	NED4L_HUMAN	DVL2_HUMAN	Q96PU5	O14641	NEDD4L	DVL2	MEDLINE	31867777	UbiNet 2.0	HECT	1	Training data	H.sapiens
1660	NED4L_HUMAN	SCN5A_HUMAN	Q96PU5	Q14524	NEDD4L	SCN5A	UniProt	NED4L_HUMAN	Ubiquitinated by <span class="match term0">NEDD4L</span>; which promotes its endocytosis	HECT	1	Training data	H.sapiens
1661	NED4L_HUMAN	PSPC1_HUMAN	Q96PU5	Q8WXF1	NEDD4L	PSPC1	MEDLINE	22199232	E3Net	HECT	1	Other	H.sapiens
1662	NED4L_HUMAN	TS101_HUMAN	Q96PU5	Q99816	NEDD4L	TSG101	MEDLINE	18321968	<span class="match term0">NEDD4L</span> stimulation also required <span class="match term1">TSG101</span> and resulted in ubiquitylation of several ESCRT-I subunits, including <span class="match term1">TSG101</span>	HECT	1	Training data	H.sapiens
1663	NED4L_HUMAN	BEST1_HUMAN	Q96PU5	O76090	NEDD4L	BEST1	MEDLINE	31036321	The E3 ubiquitin ligase, <span class="match term0">NEDD4L</span> (NEDD4-2) regulates bestrophin-1 (<span class="match term1">BEST1</span>) by ubiquitin-dependent proteolysis	HECT	1	Other	H.sapiens
1664	NED4L_HUMAN	NRAM2_HUMAN	Q96PU5	P49281	NEDD4L	SLC11A2	MEDLINE	19706893	We identify <span class="match term0">Nedd4-2</span> as an E3 ligase recruited by Ndfip1 for the ubiquitination of <span class="match term1">DMT1</span> within human neurons	HECT	1	Training data	H.sapiens
1665	NED4L_HUMAN	SMAD2_HUMAN	Q96PU5	Q15796	NEDD4L	SMAD2	MEDLINE	19917253	Through its WW domain, <span class="match term0">Nedd4L</span> specifically recognizes a TGF-beta-induced phosphoThr-ProTyr motif in the linker region, resulting in <span class="match term1">Smad2</span>/3 polyubiquitination and degradation	HECT	1	Training data	H.sapiens
1666	NED4L_HUMAN	BRAT1_HUMAN	Q96PU5	Q6PJG6	NEDD4L	BRAT1	MEDLINE	22199232	E3Net	HECT	1	Other	H.sapiens
1667	NED4L_HUMAN	P63_HUMAN	Q96PU5	Q9H3D4	NEDD4L	TP63	MEDLINE	16908849	UbiNet 2.0	HECT	1	Training data	H.sapiens
1668	NED4L_HUMAN	SCN2A_HUMAN	Q96PU5	Q99250	NEDD4L	SCN2A	UniProt	NED4L_HUMAN	May be ubiquitinated by <span class="match term0">NEDD4L</span>; which would promote its endocytosis (By similarity)	HECT	1	Training data	H.sapiens
1669	NED4L_HUMAN	CLCN5_HUMAN	Q96PU5	P51795	NEDD4L	CLCN5	UniProt	NED4L_HUMAN	Ubiquitinated by <span class="match term0">NEDD4L</span> in the presence of albumin; which promotes endocytosis and proteasomal degradation	HECT	1	Training data	H.sapiens
1670	NED4L_HUMAN	HGS_HUMAN	Q96PU5	O14964	NEDD4L	HGS	MEDLINE	20675381	UbiNet 2.0	HECT	1	Training data	H.sapiens
1671	NED4L_HUMAN	MRP1_HUMAN	Q96PU5	P33527	NEDD4L	ABCC1	MEDLINE	32140187	Further, TRIM2 and <span class="match term0">NEDD4L</span> were predicted as E3 ligases to regulate ubiquitination of vimentin and <span class="match term1">MRP1</span>, respectively	HECT	1	Other	H.sapiens
1672	NED4L_HUMAN	NED4L_HUMAN	Q96PU5	Q96PU5	NEDD4L	NEDD4L	MEDLINE	18498246	ENaC ubiquitination, in turn, appears to promote <span class="match term0">Nedd4-2</span> self-ubiquitination	HECT	1	Training data	H.sapiens
1673	NED4L_HUMAN	SCNAA_HUMAN	Q96PU5	Q9Y5Y9	NEDD4L	SCN10A	UniProt	NED4L_HUMAN	Ubiquitinated by <span class="match term0">NEDD4L</span>; which promotes its endocytosis (By similarity)	HECT	1	Training data	H.sapiens
1674	NED4L_HUMAN	KCNH2_HUMAN	Q96PU5	Q12809	NEDD4L	KCNH2	MEDLINE	21463633	UbiNet 2.0	HECT	1	Training data	H.sapiens
1675	NED4L_HUMAN	IL6RB_HUMAN	Q96PU5	P40189	NEDD4L	IL6ST	MEDLINE	33769697	Mechanistically, <span class="match term0">NEDD4L</span> directly interacts with <span class="match term1">GP130</span> and mediates its Lys-27-linked ubiquitination and proteasomal degradation	HECT	1	Other	H.sapiens
1676	NED4L_HUMAN	MERL_HUMAN	Q96PU5	P35240	NEDD4L	NF2	MEDLINE	33058421	<span class="match term1">Merlin</span> ubiquitination is mediated by the E3 ubiquitin ligase, <span class="match term0">NEDD4L</span>, which requires a scaffold protein, AMOTL1, to approach <span class="match term1">Merlin</span>.	HECT	1	Other	H.sapiens
1677	NED4L_HUMAN	SCNNG_HUMAN	Q96PU5	P51170	NEDD4L	SCNN1G	MEDLINE	14556380	Both beta- and gamma-<span class="match term1">ENaC</span> participate in negative regulation by interacting with <span class="match term0">Nedd4-2</span>, an E3 ubiquitin-ligase	HECT	1	Training data	H.sapiens
1678	NED4L_HUMAN	ACK1_HUMAN	Q96PU5	Q07912	NEDD4L	TNK2	MEDLINE	19144635	103, 9796-9801 ), our result suggest that EGF receptor-mediated <span class="match term1">ACK1</span> activation allows <span class="match term0">Nedd4-2</span> to drive kinase degradation	HECT	1	Training data	H.sapiens
1679	NED4L_HUMAN	LGR5_HUMAN	Q96PU5	O75473	NEDD4L	LGR5	MEDLINE	31867777	UbiNet 2.0	HECT	1	Other	H.sapiens
1680	NED4L_HUMAN	STK35_HUMAN	Q96PU5	Q8TDR2	NEDD4L	STK35	MEDLINE	33117809	<span class="match term1">STK35</span> Is Ubiquitinated by <span class="match term0">NEDD4L</span> and Promotes Glycolysis and Inhibits Apoptosis Through Regulating the AKT Signaling Pathway, Influencing Chemoresistance of Colorectal Cancer	HECT	1	Other	H.sapiens
1681	NED4L_HUMAN	RHOB_HUMAN	Q96PU5	P62745	NEDD4L	RHOB	MEDLINE	26949039	UbiNet 2.0	HECT	1	Other	H.sapiens
1682	NED4L_HUMAN	OGG1_HUMAN	Q96PU5	O15527	NEDD4L	OGG1	MEDLINE	33282879	The E3 Ubiquitin Ligase <span class="match term0">NEDD4L</span> Targets <span class="match term1">OGG1</span> for Ubiquitylation and Modulates the Cellular DNA Damage Response	HECT	1	Other	H.sapiens
1683	NED4L_HUMAN	S22A8_HUMAN	Q96PU5	Q8TCC7	NEDD4L	SLC22A8	MEDLINE	29487013	In the current study, we showed that treatment of <span class="match term1">hOAT3</span>-expressing cells with AG490 resulted in an enhanced <span class="match term1">hOAT3</span> ubiquitination and degradation, which was accompanied by a strengthened association of <span class="match term0">Nedd4-2</span> with <span class="match term1">hOAT3</span> and a reduction in <span class="match term0">Nedd4-2</span> phosphorylation	HECT	1	Other	H.sapiens
1684	NED4L_HUMAN	KCNA3_HUMAN	Q96PU5	P22001	NEDD4L	KCNA3	MEDLINE	22199232	E3Net	HECT	1	Other	H.sapiens
1685	NED4L_HUMAN	EAA1_HUMAN	Q96PU5	P43003	NEDD4L	SLC1A3	MEDLINE	22199232	E3Net	HECT	1	Other	H.sapiens
1686	NED4L_HUMAN	PSPC_HUMAN	Q96PU5	P11686	NEDD4L	SFTPC	MEDLINE	19423771	hUbiquitome	HECT	1	Other	H.sapiens
1687	NEUL1_HUMAN	PDE9A_HUMAN	O76050	O76083	NEURL1	PDE9A	MEDLINE	31068605	Using a yeast two-hybrid screen, we have identified a cGMP-hydrolysing phosphodiesterase, <span class="match term1">PDE9A</span>, as a novel interactor and substrate of Neuralized E3 ubiquitin protein ligase 1 (<span class="match term0">NEURL1</span>)	RING	1	Other	H.sapiens
1688	NEU1B_HUMAN	DLL3_HUMAN	A8MQ27	Q9NYJ7	NEURL1B	DLL3	MEDLINE	22199232	E3Net	RING	1	Other	H.sapiens
1689	NEU1B_HUMAN	DLL1_HUMAN	A8MQ27	O00548	NEURL1B	DLL1	MEDLINE	22199232	E3Net	RING	1	Other	H.sapiens
1690	NEU1B_HUMAN	EDAR_HUMAN	A8MQ27	Q9UNE0	NEURL1B	EDAR	MEDLINE	20176925	UbiNet 2.0	RING	1	Training data	H.sapiens
1691	NEU1B_HUMAN	DLL4_HUMAN	A8MQ27	Q9NR61	NEURL1B	DLL4	MEDLINE	22199232	E3Net	RING	1	Other	H.sapiens
1692	NEUL2_HUMAN	CTNB1_HUMAN	Q9BR09	P35222	NEURL2	CTNNB1	MEDLINE	22199232	E3Net	SOCS_VHL_BC-box	1	Other	H.sapiens
1693	NHLC1_HUMAN	PPR3C_HUMAN	Q6VVB1	Q9UQK1	NHLRC1	PPP1R3C	MEDLINE	18029386	Here, we show that the laforin-<span class="match term0">malin</span> complex downregulates <span class="match term1">PTG</span>-induced glycogen synthesis in FTO2B hepatoma cells through a mechanism involving ubiquitination and degradation of <span class="match term1">PTG</span>	RING	1	Training data	H.sapiens
1694	NHLC1_HUMAN	EPM2A_HUMAN	Q6VVB1	O95278	NHLRC1	EPM2A	UniProt	NHLC1_HUMAN	Ubiquitinated by <span class="match term0">NHLRC1</span>/malin in a <span class="match term1">EPM2A</span>/laforin-dependent manner (By similarity)	RING	1	Training data	H.sapiens
1695	NHLC1_HUMAN	GDE_HUMAN	Q6VVB1	P35573	NHLRC1	AGL	UniProt	NHLC1_HUMAN	Polyubiquitinates <span class="match term0">EPM2A</span>/laforin and ubiquitinates <span class="match term1">AGL</span> and targets them for proteasome-dependent degradation	RING	1	Training data	H.sapiens
1696	NHLC1_HUMAN	EP2A2_HUMAN	Q6VVB1	B3EWF7	NHLRC1	EPM2A	MEDLINE	22199232	E3Net	RING	1	Other	H.sapiens
1697	NHLC1_HUMAN	DVL2_HUMAN	Q6VVB1	O14641	NHLRC1	DVL2	MEDLINE	22223637	UbiNet 2.0	RING	1	Other	H.sapiens
1698	NOSIP_HUMAN	PP2AA_HUMAN	Q9Y314	P67775	NOSIP	PPP2CA	MEDLINE	25546391	UbiNet 2.0	UBOX	1	Other	H.sapiens
1699	NOSIP_HUMAN	EPOR_HUMAN	Q9Y314	P19235	NOSIP	EPOR	MEDLINE	12746455	This receptor-associated ubiquitin ligase, RUL, co-precipitated with <span class="match term1">EpoR</span> from mammalian cells and mediated ubiquitination of <span class="match term1">EpoR</span>	UBOX	1	Training data	H.sapiens
1700	OSTM1_HUMAN	GNAI3_HUMAN	Q86WC4	P08754	OSTM1	GNAI3	MEDLINE	22199232	E3Net	RING	1	Other	H.sapiens
1701	PRKN2_HUMAN	SEPT5_HUMAN	O60260	Q99719	PARK2	PRKN	UniProt	PRKN2_HUMAN	As wild-type <span class="match term0">PARK2</span>, but not familial-linked <span class="match term0">PARK2</span> mutants, ubiquinates mouse SEPT5 and promotes its degradation, it has been sugested that a deficiency in SEPT5 degradation may contribute to the development of early onset Parkinson disease 2 (<span class="match term0">PARK2</span>)	RING	1	Training data	H.sapiens
1702	PRKN2_HUMAN	SYUA_HUMAN	O60260	P37840	PARK2	SNCA	MEDLINE	17883392	Similar to recently conducted studies on alpha-synuclein processing, both macroautophagy and the proteasome participate in parkin degradation, with the proteasome playing the predominant role for normal parkin turnover and macroautophagy being more important in the degradation of aggregated parkin	RING	1	Training data	H.sapiens
1703	PRKN2_HUMAN	CCNE1_HUMAN	O60260	P24864	PARK2	CCNE1	MEDLINE	19946270	<span class="match term0">PARK2</span> mutations in cancer decrease <span class="match term0">PARK2</span>'s E3 ligase activity, compromising its ability to ubiquitinate cyclin E and resulting in mitotic instability	RING	1	Training data	H.sapiens
1704	PRKN2_HUMAN	GPR37_HUMAN	O60260	O15354	PARK2	GPR37	MEDLINE	19218498	The orphan G-protein-coupled receptor 37 (<span class="match term1">GPR37</span>) is a substrate of parkin, and its insoluble aggregates accumulate in brain tissue samples of Parkinson's disease patients, including Lewy bodies and neurites	RING	1	Training data	H.sapiens
1705	PRKN2_HUMAN	SNCAP_HUMAN	O60260	Q9Y6H5	PARK2	SNCAIP	UniProt	PRKN2_HUMAN	Familial mutations in <span class="match term0">PARK2</span> disrupt the ubiquitination of <span class="match term1">SNCAIP</span> and the formation of the ubiquitin-positive inclusions	RING	1	Training data	H.sapiens
1706	PRKN2_HUMAN	PRKN2_HUMAN	O60260	O60260	PARK2	PARK2	UniProt	PRKN2_HUMAN	Inhibits both auto-ubiquitination of <span class="match term0">PARK2</span> and ubiquitination of target proteins by <span class="match term0">PARK2</span> (By similarity)	RING	1	Training data	H.sapiens
1707	PRKN2_HUMAN	AIMP2_HUMAN	O60260	Q13155	PARK2	AIMP2	UniProt	PRKN2_HUMAN	Ubiquitinated by <span class="match term0">PARK2</span>, leading to its degradation by the proteasome	RING	1	Training data	H.sapiens
1708	PRKN2_HUMAN	PARK7_HUMAN	O60260	Q99497	PARK2	PARK7	MEDLINE	20634198	TRAF6 promotes atypical ubiquitination of mutant <span class="match term1">DJ-1</span> and alpha-synuclein and is localized to Lewy bodies in sporadic Parkinson's disease brains	RING	1	Training data	H.sapiens
1709	PRKN2_HUMAN	H2B1J_HUMAN	O60260	O95147	PARK2	NEK2	MEDLINE	26387737	26387737	RING	1	Other	H.sapiens
1710	PRKN2_HUMAN	2AAA_HUMAN	O60260	P46527	PARK2	HSD17B10	MEDLINE	25591737	25591737	RING	1	Other	H.sapiens
1711	PRKN2_HUMAN	RAD51_HUMAN	O60260	Q99714	PARK2	PTPN5	MEDLINE	25583483	25583483	RING	1	Other	H.sapiens
1712	PRKN2_HUMAN	PINK1_HUMAN	O60260	Q9BXM7	PARK2	PINK1	MEDLINE	22724072	22724072	RING	1	Other	H.sapiens
1713	PRKN2_HUMAN	MFN1_HUMAN	O60260	Q8IWA4	PARK2	MFN1	MEDLINE	21615408	21615408	RING	1	Other	H.sapiens
1714	PRKN2_HUMAN	ZN746_HUMAN	O60260	Q6NUN9	PARK2	ZNF746	MEDLINE	21376232	21376232	RING	1	Other	H.sapiens
1715	PRKN2_HUMAN	RBP2_HUMAN	O60260	P49792	PARK2	RANBP2	MEDLINE	16332688	Furthermore, Parkin controls the intracellular levels of sumoylated HDAC4, as a result of the ubiquitination and degradation of <span class="match term1">RanBP2</span>	RING	1	Training data	H.sapiens
1716	PRKN2_HUMAN	DNM1L_HUMAN	O60260	O00429	PARK2	DNM1L	MEDLINE	21292769	21292769	RING	1	Other	H.sapiens
1717	PRKN2_HUMAN	NEMO_HUMAN	O60260	Q9Y6K9	PARK2	IKBKG	MEDLINE	19880420	19880420	RING	1	Other	H.sapiens
1718	PRKN2_HUMAN	PSMD4_HUMAN	O60260	P55036	PARK2	PSMD4	MEDLINE	19240029	19240029	RING	1	Other	H.sapiens
1719	PRKN2_HUMAN	PICK1_HUMAN	O60260	Q9NRD5	PARK2	PICK1	MEDLINE	17553932	17553932	RING	1	Other	H.sapiens
1720	PRKN2_HUMAN	LIMK1_HUMAN	O60260	P53667	PARK2	LIMK1	MEDLINE	17512523	Furthermore, in the cells co-transfected with parkin and p38, <span class="match term1">LIMK1</span> significantly decreased p38-ubiquitination by parkin	RING	1	Training data	H.sapiens
1721	PRKN2_HUMAN	SIM2_HUMAN	O60260	Q14190	PARK2	SIM2	MEDLINE	17360614	In Parkin, the IBR domain has been shown to augment binding of the E2 proteins UbcH7 and UbcH8, and the subsequent ubiquitination of the proteins synphilin-1, Sept5, and <span class="match term1">SIM2</span>	RING	1	Training data	H.sapiens
1722	PRKN2_HUMAN	EPS15_HUMAN	O60260	P42566	PARK2	EPS15	MEDLINE	16862145	16862145	RING	1	Other	H.sapiens
1723	PRKN2_HUMAN	TBB5_HUMAN	O60260	P07437	PARK2	TUBB	MEDLINE	12716939	The binding between parkin and tubulin apparently led to increased ubiquitination and accelerated degradation of alpha- and beta-tubulins in HEK293 cells	RING	1	Training data	H.sapiens
1724	PARP1_HUMAN	SIAH1_HUMAN	P09874	Q8IUQ4	PARP1	SIAH1	MEDLINE	29949759	At the protein level, <span class="match term0">PARP1</span> promotes <span class="match term1">Siah1</span> proteolysis, likely through inducing PARylation-dependent ubiquitination (PARdU) of <span class="match term1">Siah1</span>	Other	1	Other	H.sapiens
1725	PAXI1_HUMAN	PCNA_HUMAN	Q6ZW49	P12004	PAXIP1	PCNA	MEDLINE	22199232	E3Net	Other	1	Other	H.sapiens
1726	PCGF1_HUMAN	H2A1_HUMAN	Q9BSM1	P0C0S8	PCGF1	H2AC11	MEDLINE	22199232	E3Net	RING	1	Other	H.sapiens
1727	PDLI2_HUMAN	TF65_HUMAN	Q96JY6	Q04206	PDLIM2	RELA	MEDLINE	19052146	<span class="match term0">PDLIM2</span> (Mystique/SLIM) is a postsynaptic density-95/discs large/zonula occludens-1-Lin-11, Isl-1, Mec-3 (PDZ-LIM) domain protein expressed in the nucleus of T lymphocytes, where it promotes degradation of the <span class="match term1">p65</span> subunit of NF-kappaB	SINGLE_OTHER	1	Training data	H.sapiens
1728	PDLI2_HUMAN	STAT1_HUMAN	Q96JY6	P42224	PDLIM2	STAT1	MEDLINE	20889505	UbiNet 2.0	SINGLE_OTHER	1	Training data	H.sapiens
1729	PZRN3_HUMAN	MUSK_HUMAN	Q9UPQ7	O15146	PDZRN3	MUSK	UniProt	PZRN3_HUMAN	Ubiquitinated by <span class="match term0">PDZRN3</span>	RING	1	Training data	H.sapiens
1730	PELI1_HUMAN	RBP1_HUMAN	Q96FA3	Q15311	PELI1	RALBP1	MEDLINE	19734906	Notably, <span class="match term0">Peli1</span> bound to and ubiquitinated <span class="match term1">RIP1</span>, a signaling molecule that mediates IKK activation induced by the TLR3 and TLR4 adaptor TRIF	RING	1	Training data	H.sapiens
1731	PELI1_HUMAN	IRAK1_HUMAN	Q96FA3	P51617	PELI1	IRAK1	MEDLINE	16884718	In support of this hypothesis we show that Pellino proteins induce <span class="match term1">IRAK</span>-1 polyubiquitination in a RING-dependent manner	RING	1	Training data	H.sapiens
1732	PELI1_HUMAN	M3K14_HUMAN	Q96FA3	Q99558	PELI1	MAP3K14	MEDLINE	29555915	Mechanically, <span class="match term0">Peli1</span> functions as an E3 ligase to associate with NF-kappaB inducing kinase (<span class="match term1">NIK</span>) and mediates <span class="match term1">NIK</span> Lys48 ubiquitination and degradation	RING	1	Other	H.sapiens
1733	PELI1_HUMAN	RIPK3_HUMAN	Q96FA3	Q9Y572	PELI1	RIPK3	MEDLINE	30269743	However, while screening for <span class="match term1">RIP3</span>-binding proteins, we discovered that pellino E3 ubiquitin protein ligase 1 (<span class="match term0">PELI1</span>) also interacts directly with <span class="match term1">RIP3</span> protein; further investigation in this study revealed that <span class="match term0">PELI1</span> also targets <span class="match term1">RIP3</span> for proteasome-dependent degradation	RING	1	Other	H.sapiens
1734	PELI1_HUMAN	MDM4_HUMAN	Q96FA3	O15151	PELI1	MDM4	MEDLINE	29523541	<span class="match term0">Peli1</span> bound <span class="match term1">Mdmx</span> in vitro and in vivo and promoted high levels of ubiquitination of <span class="match term1">Mdmx</span>	RING	1	Other	H.sapiens
1735	PELI1_HUMAN	TRAF3_HUMAN	Q96FA3	Q13114	PELI1	TRAF3	MEDLINE	23603814	UbiNet 2.0	RING	1	Training data	H.sapiens
1736	PELI1_HUMAN	RIPK1_HUMAN	Q96FA3	Q13546	PELI1	RIPK1	MEDLINE	19734906	UbiNet 2.0	RING	1	Training data	H.sapiens
1737	PELI1_HUMAN	BCL6_HUMAN	Q96FA3	P41182	PELI1	BCL6	MEDLINE	25295537	<span class="match term0">PELI1</span> directly interacted with the oncoprotein B cell chronic lymphocytic leukemia (<span class="match term1">BCL6</span>) and induced lysine 63-mediated <span class="match term1">BCL6</span> polyubiquitination	RING	1	Other	H.sapiens
1738	PELI3_HUMAN	IRAK1_HUMAN	Q8N2H9	P51617	PELI3	IRAK1	MEDLINE	12874243	UbiNet 2.0	RING	1	Training data	H.sapiens
1739	PELI3_HUMAN	RIPK2_HUMAN	Q8N2H9	O43353	PELI3	RIPK2	MEDLINE	23892723	Pellino3 ubiquitinates <span class="match term1">RIP2</span> and mediates Nod2-induced signaling and protective effects in colitis.	RING	1	Other	H.sapiens
1740	PELI3_HUMAN	TRAF6_HUMAN	Q8N2H9	Q9Y4K3	PELI3	TRAF6	MEDLINE	23042151	UbiNet 2.0	RING	1	Other	H.sapiens
1741	PEX10_HUMAN	PEX5_HUMAN	O60683	P50542	PEX10	PEX5	MEDLINE	22199232	E3Net	RING	1	Other	H.sapiens
1742	PEX12_HUMAN	PEX5_HUMAN	O00623	P50542	PEX12	PEX5	MEDLINE	19687296	UbiNet 2.0	RING	1	Training data	H.sapiens
